id,title,description,incident_type,severity,status,date,created_at,reported_by
210,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2024-07-29,2024-07-29 00:00:00,analyst2
211,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2024-07-30,2024-07-30 00:00:00,soc_user
212,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2024-07-31,2024-07-31 00:00:00,admin
213,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2024-08-01,2024-08-01 00:00:00,analyst1
214,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2024-08-02,2024-08-02 00:00:00,analyst2
215,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2024-08-03,2024-08-03 00:00:00,soc_user
216,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2024-08-04,2024-08-04 00:00:00,admin
217,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2024-08-05,2024-08-05 00:00:00,analyst1
218,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2024-08-06,2024-08-06 00:00:00,analyst2
219,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2024-08-07,2024-08-07 00:00:00,soc_user
220,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2024-08-08,2024-08-08 00:00:00,admin
221,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2024-08-09,2024-08-09 00:00:00,analyst1
222,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2024-08-10,2024-08-10 00:00:00,analyst2
223,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2024-08-11,2024-08-11 00:00:00,soc_user
224,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2024-08-12,2024-08-12 00:00:00,admin
225,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2024-08-13,2024-08-13 00:00:00,analyst1
226,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2024-08-14,2024-08-14 00:00:00,analyst2
227,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2024-08-15,2024-08-15 00:00:00,soc_user
228,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2024-08-16,2024-08-16 00:00:00,admin
229,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2024-08-17,2024-08-17 00:00:00,analyst1
230,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2024-08-18,2024-08-18 00:00:00,analyst2
231,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2024-08-19,2024-08-19 00:00:00,soc_user
232,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2024-08-20,2024-08-20 00:00:00,admin
233,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2024-08-21,2024-08-21 00:00:00,analyst1
234,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2024-08-22,2024-08-22 00:00:00,analyst2
235,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2024-08-23,2024-08-23 00:00:00,soc_user
236,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2024-08-24,2024-08-24 00:00:00,admin
237,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2024-08-25,2024-08-25 00:00:00,analyst1
238,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2024-08-26,2024-08-26 00:00:00,analyst2
239,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2024-08-27,2024-08-27 00:00:00,soc_user
240,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2024-08-28,2024-08-28 00:00:00,admin
241,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2024-08-29,2024-08-29 00:00:00,analyst1
242,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2024-08-30,2024-08-30 00:00:00,analyst2
243,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2024-08-31,2024-08-31 00:00:00,soc_user
244,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2024-09-01,2024-09-01 00:00:00,admin
245,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2024-09-02,2024-09-02 00:00:00,analyst1
246,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2024-09-03,2024-09-03 00:00:00,analyst2
247,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2024-09-04,2024-09-04 00:00:00,soc_user
248,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2024-09-05,2024-09-05 00:00:00,admin
249,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2024-09-06,2024-09-06 00:00:00,analyst1
250,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2024-09-07,2024-09-07 00:00:00,analyst2
251,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2024-09-08,2024-09-08 00:00:00,soc_user
252,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2024-09-09,2024-09-09 00:00:00,admin
253,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2024-09-10,2024-09-10 00:00:00,analyst1
254,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2024-09-11,2024-09-11 00:00:00,analyst2
255,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2024-09-12,2024-09-12 00:00:00,soc_user
256,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2024-09-13,2024-09-13 00:00:00,admin
257,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2024-09-14,2024-09-14 00:00:00,analyst1
258,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2024-09-15,2024-09-15 00:00:00,analyst2
259,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2024-09-16,2024-09-16 00:00:00,soc_user
260,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2024-09-17,2024-09-17 00:00:00,admin
261,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2024-09-18,2024-09-18 00:00:00,analyst1
262,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2024-09-19,2024-09-19 00:00:00,analyst2
263,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2024-09-20,2024-09-20 00:00:00,soc_user
264,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2024-09-21,2024-09-21 00:00:00,admin
265,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2024-09-22,2024-09-22 00:00:00,analyst1
266,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2024-09-23,2024-09-23 00:00:00,analyst2
267,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2024-09-24,2024-09-24 00:00:00,soc_user
268,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2024-09-25,2024-09-25 00:00:00,admin
269,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2024-09-26,2024-09-26 00:00:00,analyst1
270,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2024-09-27,2024-09-27 00:00:00,analyst2
271,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2024-09-28,2024-09-28 00:00:00,soc_user
272,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2024-09-29,2024-09-29 00:00:00,admin
273,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2024-09-30,2024-09-30 00:00:00,analyst1
274,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2024-10-01,2024-10-01 00:00:00,analyst2
275,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2024-10-02,2024-10-02 00:00:00,soc_user
276,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2024-10-03,2024-10-03 00:00:00,admin
277,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2024-10-04,2024-10-04 00:00:00,analyst1
278,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2024-10-05,2024-10-05 00:00:00,analyst2
279,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2024-10-06,2024-10-06 00:00:00,soc_user
280,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2024-10-07,2024-10-07 00:00:00,admin
281,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2024-10-08,2024-10-08 00:00:00,analyst1
282,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2024-10-09,2024-10-09 00:00:00,analyst2
283,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2024-10-10,2024-10-10 00:00:00,soc_user
284,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2024-10-11,2024-10-11 00:00:00,admin
285,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2024-10-12,2024-10-12 00:00:00,analyst1
286,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2024-10-13,2024-10-13 00:00:00,analyst2
287,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2024-10-14,2024-10-14 00:00:00,soc_user
288,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2024-10-15,2024-10-15 00:00:00,admin
289,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2024-10-16,2024-10-16 00:00:00,analyst1
290,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2024-10-17,2024-10-17 00:00:00,analyst2
291,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2024-10-18,2024-10-18 00:00:00,soc_user
292,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2024-10-19,2024-10-19 00:00:00,admin
293,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2024-10-20,2024-10-20 00:00:00,analyst1
294,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2024-10-21,2024-10-21 00:00:00,analyst2
295,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2024-10-22,2024-10-22 00:00:00,soc_user
296,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2024-10-23,2024-10-23 00:00:00,admin
297,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2024-10-24,2024-10-24 00:00:00,analyst1
298,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2024-10-25,2024-10-25 00:00:00,analyst2
299,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2024-10-26,2024-10-26 00:00:00,soc_user
300,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2024-10-27,2024-10-27 00:00:00,admin
301,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2024-10-28,2024-10-28 00:00:00,analyst1
302,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2024-10-29,2024-10-29 00:00:00,analyst2
303,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2024-10-30,2024-10-30 00:00:00,soc_user
304,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2024-10-31,2024-10-31 00:00:00,admin
305,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2024-11-01,2024-11-01 00:00:00,analyst1
306,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2024-11-02,2024-11-02 00:00:00,analyst2
307,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2024-11-03,2024-11-03 00:00:00,soc_user
308,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2024-11-04,2024-11-04 00:00:00,admin
309,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2024-11-05,2024-11-05 00:00:00,analyst1
310,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2024-11-06,2024-11-06 00:00:00,analyst2
311,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2024-11-07,2024-11-07 00:00:00,soc_user
312,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2024-11-08,2024-11-08 00:00:00,admin
313,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2024-11-09,2024-11-09 00:00:00,analyst1
314,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2024-11-10,2024-11-10 00:00:00,analyst2
315,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2024-11-11,2024-11-11 00:00:00,soc_user
316,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2024-11-12,2024-11-12 00:00:00,admin
317,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2024-11-13,2024-11-13 00:00:00,analyst1
318,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2024-11-14,2024-11-14 00:00:00,analyst2
319,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2024-11-15,2024-11-15 00:00:00,soc_user
320,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2024-11-16,2024-11-16 00:00:00,admin
321,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2024-11-17,2024-11-17 00:00:00,analyst1
322,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2024-11-18,2024-11-18 00:00:00,analyst2
323,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2024-11-19,2024-11-19 00:00:00,soc_user
324,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2024-11-20,2024-11-20 00:00:00,admin
325,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2024-11-21,2024-11-21 00:00:00,analyst1
326,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2024-11-22,2024-11-22 00:00:00,analyst2
327,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2024-11-23,2024-11-23 00:00:00,soc_user
328,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2024-11-24,2024-11-24 00:00:00,admin
329,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2024-11-25,2024-11-25 00:00:00,analyst1
330,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2024-11-26,2024-11-26 00:00:00,analyst2
331,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2024-11-27,2024-11-27 00:00:00,soc_user
332,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2024-11-28,2024-11-28 00:00:00,admin
333,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2024-11-29,2024-11-29 00:00:00,analyst1
334,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2024-11-30,2024-11-30 00:00:00,analyst2
335,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2024-12-01,2024-12-01 00:00:00,soc_user
336,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2024-12-02,2024-12-02 00:00:00,admin
337,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2024-12-03,2024-12-03 00:00:00,analyst1
338,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2024-12-04,2024-12-04 00:00:00,analyst2
339,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2024-12-05,2024-12-05 00:00:00,soc_user
340,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2024-12-06,2024-12-06 00:00:00,admin
341,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2024-12-07,2024-12-07 00:00:00,analyst1
342,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2024-12-08,2024-12-08 00:00:00,analyst2
343,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2024-12-09,2024-12-09 00:00:00,soc_user
344,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2024-12-10,2024-12-10 00:00:00,admin
345,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2024-12-11,2024-12-11 00:00:00,analyst1
346,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2024-12-12,2024-12-12 00:00:00,analyst2
347,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2024-12-13,2024-12-13 00:00:00,soc_user
348,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2024-12-14,2024-12-14 00:00:00,admin
349,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2024-12-15,2024-12-15 00:00:00,analyst1
350,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2024-12-16,2024-12-16 00:00:00,analyst2
351,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2024-12-17,2024-12-17 00:00:00,soc_user
352,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2024-12-18,2024-12-18 00:00:00,admin
353,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2024-12-19,2024-12-19 00:00:00,analyst1
354,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2024-12-20,2024-12-20 00:00:00,analyst2
355,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2024-12-21,2024-12-21 00:00:00,soc_user
356,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2024-12-22,2024-12-22 00:00:00,admin
357,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2024-12-23,2024-12-23 00:00:00,analyst1
358,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2024-12-24,2024-12-24 00:00:00,analyst2
359,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2024-12-25,2024-12-25 00:00:00,soc_user
360,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2024-12-26,2024-12-26 00:00:00,admin
361,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2024-12-27,2024-12-27 00:00:00,analyst1
362,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2024-12-28,2024-12-28 00:00:00,analyst2
363,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2024-12-29,2024-12-29 00:00:00,soc_user
364,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2024-12-30,2024-12-30 00:00:00,admin
365,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2024-12-31,2024-12-31 00:00:00,analyst1
366,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2025-01-01,2025-01-01 00:00:00,analyst2
367,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2025-01-02,2025-01-02 00:00:00,soc_user
368,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2025-01-03,2025-01-03 00:00:00,admin
369,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2025-01-04,2025-01-04 00:00:00,analyst1
370,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2025-01-05,2025-01-05 00:00:00,analyst2
371,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2025-01-06,2025-01-06 00:00:00,soc_user
372,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2025-01-07,2025-01-07 00:00:00,admin
373,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2025-01-08,2025-01-08 00:00:00,analyst1
374,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2025-01-09,2025-01-09 00:00:00,analyst2
375,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2025-01-10,2025-01-10 00:00:00,soc_user
376,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2025-01-11,2025-01-11 00:00:00,admin
377,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2025-01-12,2025-01-12 00:00:00,analyst1
378,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2025-01-13,2025-01-13 00:00:00,analyst2
379,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2025-01-14,2025-01-14 00:00:00,soc_user
380,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2025-01-15,2025-01-15 00:00:00,admin
381,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2025-01-16,2025-01-16 00:00:00,analyst1
382,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2025-01-17,2025-01-17 00:00:00,analyst2
383,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2025-01-18,2025-01-18 00:00:00,soc_user
384,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2025-01-19,2025-01-19 00:00:00,admin
385,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2025-01-20,2025-01-20 00:00:00,analyst1
386,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2025-01-21,2025-01-21 00:00:00,analyst2
387,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2025-01-22,2025-01-22 00:00:00,soc_user
388,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2025-01-23,2025-01-23 00:00:00,admin
389,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2025-01-24,2025-01-24 00:00:00,analyst1
390,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2025-01-25,2025-01-25 00:00:00,analyst2
391,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2025-01-26,2025-01-26 00:00:00,soc_user
392,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2025-01-27,2025-01-27 00:00:00,admin
393,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2025-01-28,2025-01-28 00:00:00,analyst1
394,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2025-01-29,2025-01-29 00:00:00,analyst2
395,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2025-01-30,2025-01-30 00:00:00,soc_user
396,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2025-01-31,2025-01-31 00:00:00,admin
397,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2025-02-01,2025-02-01 00:00:00,analyst1
398,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2025-02-02,2025-02-02 00:00:00,analyst2
399,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2025-02-03,2025-02-03 00:00:00,soc_user
400,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2025-02-04,2025-02-04 00:00:00,admin
401,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2025-02-05,2025-02-05 00:00:00,analyst1
402,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2025-02-06,2025-02-06 00:00:00,analyst2
403,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2025-02-07,2025-02-07 00:00:00,soc_user
404,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2025-02-08,2025-02-08 00:00:00,admin
405,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2025-02-09,2025-02-09 00:00:00,analyst1
406,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2025-02-10,2025-02-10 00:00:00,analyst2
407,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2025-02-11,2025-02-11 00:00:00,soc_user
408,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2025-02-12,2025-02-12 00:00:00,admin
409,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2025-02-13,2025-02-13 00:00:00,analyst1
410,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2025-02-14,2025-02-14 00:00:00,analyst2
411,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2025-02-15,2025-02-15 00:00:00,soc_user
412,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2025-02-16,2025-02-16 00:00:00,admin
413,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2025-02-17,2025-02-17 00:00:00,analyst1
414,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2025-02-18,2025-02-18 00:00:00,analyst2
415,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2025-02-19,2025-02-19 00:00:00,soc_user
416,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2025-02-20,2025-02-20 00:00:00,admin
417,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2025-02-21,2025-02-21 00:00:00,analyst1
418,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2025-02-22,2025-02-22 00:00:00,analyst2
419,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2025-02-23,2025-02-23 00:00:00,soc_user
